# register#,plate_x,plate_y,Seconds,i0,i1,mon,bstop,Omron,CH6,    CH7,TEMP,marccd,ICRxT,OCRxT,ROI1,ROI2,ROI3,ROI4,ROI5,ROI6,ROI7,ROI8,ROI9,    ROI10,RIO11,ROI12,ROI13,SWX,CCD1,CTEMP,Timer,pd1,pd2,pd3,pd4,pd5,pd6,pd7,    pd8,pd9,pd10,pd11,pd12,pd13,pd14,pd15,pd16,scan#,Imax,Iave,ratio,scan#,texture,scan#,peak_num,scan#, neighbor_distance,Co,Fe,Zr,Co_adjusted,Fe_adjusted,Zr_adjusted,# peak_position, peak_width, peak_intensity,distance_2d,# Fe_alpha,Fe_beta,Co_alpha,Co_beta
5.60E+01,-1.80E+01,-3.00E+01,3.00E+01,3.75E+06,3.88E+06,0.00E+00,1.38E+07,1.05E+05,0.00E+00,0.00E+00,0.00E+00,3.50E+01,5.64E+05,5.31E+05,1.65E+05,1.15E+05,1.70E+04,6.98E+03,9.59E+02,1.21E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.10E+01,1.07E+03,6.14E+02,1.75E+00,1.10E+01,1.26E-05,1.10E+01,3.00E+00,1.10E+01,-6.49E-08,0.071387852,0.17637916,0.752232988,0.079094669,0.177758264,0.743147067,2.53E+00,4.00E-01,4.27E+02,-1.31E-05,5.97E+03,8.11E+02,2.99E+03,4.09E+02
5.70E+01,-1.50E+01,-3.00E+01,3.00E+01,3.79E+06,3.93E+06,0.00E+00,1.37E+07,1.04E+05,0.00E+00,0.00E+00,0.00E+00,3.50E+01,5.61E+05,5.28E+05,1.57E+05,1.15E+05,1.81E+04,7.40E+03,8.82E+02,1.21E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.20E+01,1.14E+03,6.25E+02,1.83E+00,1.20E+01,1.23E-05,1.20E+01,3.00E+00,1.20E+01,-1.43E-08,0.070504511,0.162331935,0.767163555,0.078078138,0.163581322,0.75834054,2.52E+00,3.78E-01,4.80E+02,-2.91E-05,5.66E+03,7.69E+02,3.31E+03,4.53E+02
5.80E+01,-1.20E+01,-3.00E+01,3.00E+01,3.79E+06,3.95E+06,0.00E+00,1.38E+07,1.04E+05,0.00E+00,0.00E+00,0.00E+00,3.52E+01,5.50E+05,5.18E+05,1.47E+05,1.14E+05,1.83E+04,7.52E+03,9.71E+02,1.20E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.30E+01,1.20E+03,6.28E+02,1.91E+00,1.30E+01,1.20E-05,1.30E+01,3.00E+00,1.30E+01,1.52E-04,0.06951079,0.149294101,0.781195109,0.076934783,0.150421687,0.77264353,2.51E+00,3.54E-01,5.31E+02,4.77E-04,5.30E+03,7.20E+02,3.32E+03,4.55E+02
5.90E+01,-9.00E+00,-3.00E+01,3.00E+01,3.79E+06,3.94E+06,0.00E+00,1.38E+07,1.04E+05,0.00E+00,0.00E+00,0.00E+00,3.52E+01,5.37E+05,5.07E+05,1.38E+05,1.12E+05,1.83E+04,7.82E+03,9.47E+02,1.18E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.40E+01,1.26E+03,6.29E+02,2.01E+00,1.40E+01,1.23E-05,1.40E+01,3.00E+00,1.40E+01,2.24E-04,0.068418855,0.137203939,0.794377206,0.075678184,0.138218842,0.786102974,2.50E+00,3.23E-01,5.95E+02,6.02E-04,4.99E+03,6.79E+02,3.28E+03,4.50E+02
6.00E+01,-6.00E+00,-3.00E+01,3.00E+01,3.79E+06,3.89E+06,0.00E+00,1.38E+07,1.05E+05,0.00E+00,0.00E+00,0.00E+00,3.52E+01,5.22E+05,4.93E+05,1.29E+05,1.09E+05,1.86E+04,8.18E+03,8.70E+02,1.16E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.50E+01,1.35E+03,6.25E+02,2.15E+00,1.50E+01,1.25E-05,1.50E+01,5.00E+00,1.50E+01,3.68E-04,0.067245503,0.126055253,0.806699243,0.074327791,0.126964762,0.798707447,2.50E+00,2.80E-01,6.80E+02,8.48E-04,4.61E+03,6.27E+02,3.27E+03,4.48E+02
6.10E+01,-3.00E+00,-3.00E+01,3.00E+01,3.78E+06,3.86E+06,0.00E+00,1.42E+07,1.04E+05,0.00E+00,0.00E+00,0.00E+00,3.50E+01,5.10E+05,4.82E+05,1.18E+05,1.07E+05,1.89E+04,8.47E+03,8.71E+02,1.14E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.60E+01,1.47E+03,6.21E+02,2.36E+00,1.60E+01,1.27E-05,1.60E+01,5.00E+00,1.60E+01,6.68E-04,0.065999995,0.115760469,0.818239536,0.072893713,0.116572049,0.810534238,2.49E+00,2.27E-01,8.15E+02,1.57E-03,4.24E+03,5.76E+02,3.26E+03,4.46E+02
6.20E+01,0.00E+00,-3.00E+01,3.00E+01,3.77E+06,3.93E+06,0.00E+00,1.39E+07,1.06E+05,0.00E+00,0.00E+00,0.00E+00,3.52E+01,5.07E+05,4.80E+05,1.11E+05,1.07E+05,1.88E+04,8.86E+03,8.91E+02,1.16E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.70E+01,1.68E+03,6.35E+02,2.65E+00,1.70E+01,1.29E-05,1.70E+01,6.00E+00,1.70E+01,1.27E-03,0.064697563,0.106302494,0.828999943,0.071394364,0.107024738,0.821580898,2.48E+00,1.94E-01,1.00E+03,3.61E-03,3.98E+03,5.41E+02,3.29E+03,4.50E+02
6.30E+01,3.00E+00,-3.00E+01,3.00E+01,3.77E+06,3.93E+06,0.00E+00,1.39E+07,1.05E+05,0.00E+00,0.00E+00,0.00E+00,3.52E+01,4.99E+05,4.72E+05,1.04E+05,1.05E+05,1.91E+04,9.45E+03,8.96E+02,1.15E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.80E+01,1.95E+03,6.36E+02,3.06E+00,1.80E+01,1.48E-05,1.80E+01,6.00E+00,1.80E+01,2.27E-03,0.063347979,0.097611777,0.839040244,0.069839667,0.098250957,0.831909376,2.48E+00,1.62E-01,1.27E+03,9.49E-03,3.71E+03,5.05E+02,3.32E+03,4.55E+02
6.40E+01,6.00E+00,-3.00E+01,3.00E+01,3.77E+06,3.91E+06,0.00E+00,1.40E+07,1.05E+05,0.00E+00,0.00E+00,0.00E+00,3.51E+01,4.88E+05,4.63E+05,9.67E+04,1.03E+05,1.90E+04,9.50E+03,8.36E+02,1.13E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.90E+01,2.31E+03,6.40E+02,3.62E+00,1.90E+01,2.38E-05,1.90E+01,6.00E+00,1.90E+01,3.29E-03,0.061958062,0.089622861,0.848419076,0.068238563,0.090186082,0.841575355,2.48E+00,1.35E-01,1.65E+03,2.01E-02,3.46E+03,4.71E+02,3.26E+03,4.47E+02
6.50E+01,9.00E+00,-3.00E+01,3.00E+01,3.79E+06,3.85E+06,0.00E+00,1.39E+07,1.04E+05,0.00E+00,0.00E+00,0.00E+00,3.50E+01,4.73E+05,4.49E+05,8.81E+04,9.85E+04,1.87E+04,9.40E+03,8.28E+02,1.11E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.00E+01,2.78E+03,6.35E+02,4.37E+00,2.00E+01,4.69E-05,2.00E+01,6.00E+00,2.00E+01,3.90E-03,0.060541983,0.082311776,0.857146241,0.066606198,0.082805484,0.850588318,2.47E+00,1.13E-01,2.13E+03,3.35E-02,3.14E+03,4.27E+02,3.19E+03,4.37E+02
