# register#,plate_x,plate_y,Seconds,i0,i1,mon,bstop,Omron,CH6,    CH7,TEMP,marccd,ICRxT,OCRxT,ROI1,ROI2,ROI3,ROI4,ROI5,ROI6,ROI7,ROI8,ROI9,    ROI10,RIO11,ROI12,ROI13,SWX,CCD1,CTEMP,Timer,pd1,pd2,pd3,pd4,pd5,pd6,pd7,    pd8,pd9,pd10,pd11,pd12,pd13,pd14,pd15,pd16,scan#,Imax,Iave,ratio,scan#,texture,scan#,peak_num,scan#, neighbor_distance,Co,Fe,Zr,Co_adjusted,Fe_adjusted,Zr_adjusted,# peak_position, peak_width, peak_intensity,distance_2d,# Fe_alpha,Fe_beta,Co_alpha,Co_beta
1.20E+01,0.00E+00,-3.60E+01,3.00E+01,3.86E+06,4.71E+06,0.00E+00,1.11E+04,1.18E+05,0.00E+00,0.00E+00,0.00E+00,3.51E+01,6.77E+05,6.32E+05,1.42E+05,3.31E+05,4.75E+04,4.07E+03,1.22E+03,3.34E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,1.06E+03,6.99E+02,1.52E+00,1.00E+00,1.63E-05,1.00E+00,0.00E+00,1.00E+00,-7.97E-08,0.318089856,0.186206202,0.495703943,0.318089787,0.186206161,0.495704052,2.72E+00,7.56E-01,1.46E+02,-3.69E-05,4.81E+03,6.54E+02,1.12E+04,1.54E+03
3.30E+01,-1.20E+01,-3.30E+01,3.00E+01,4.14E+06,5.00E+06,0.00E+00,1.36E+07,1.19E+05,0.00E+00,0.00E+00,0.00E+00,3.51E+01,9.93E+05,9.01E+05,2.58E+05,5.02E+05,6.99E+04,4.32E+03,1.81E+03,3.27E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.00E+00,1.15E+03,7.93E+02,1.45E+00,2.00E+00,1.50E-05,2.00E+00,1.00E+00,2.00E+00,-3.67E-08,0.348531316,0.252035703,0.399432981,0.348531655,0.252035202,0.399433143,2.92E+00,7.39E-01,2.04E+02,4.84E-05,8.87E+03,1.21E+03,1.67E+04,2.29E+03
3.40E+01,-9.00E+00,-3.30E+01,3.00E+01,4.16E+06,4.98E+06,0.00E+00,1.41E+07,1.18E+05,0.00E+00,0.00E+00,0.00E+00,3.52E+01,9.68E+05,8.81E+05,2.43E+05,4.97E+05,6.99E+04,4.56E+03,1.81E+03,3.37E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.00E+00,1.13E+03,7.87E+02,1.44E+00,3.00E+00,1.51E-05,3.00E+00,2.00E+00,3.00E+00,6.47E-08,0.347475867,0.235618722,0.416905411,0.347475294,0.235618135,0.416906572,2.88E+00,8.05E-01,1.97E+02,-5.99E-05,8.34E+03,1.13E+03,1.66E+04,2.27E+03
3.50E+01,-6.00E+00,-3.30E+01,3.00E+01,4.16E+06,4.96E+06,0.00E+00,1.45E+07,1.19E+05,0.00E+00,0.00E+00,0.00E+00,3.53E+01,9.42E+05,8.59E+05,2.26E+05,4.91E+05,6.94E+04,4.49E+03,1.77E+03,3.44E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.00E+00,1.13E+03,7.80E+02,1.44E+00,4.00E+00,1.51E-05,4.00E+00,0.00E+00,4.00E+00,-1.37E-08,0.345644112,0.220063756,0.434292132,0.345643767,0.220063628,0.434292604,2.84E+00,8.19E-01,1.94E+02,7.03E-05,7.70E+03,1.05E+03,1.65E+04,2.26E+03
3.60E+01,-3.00E+00,-3.30E+01,3.00E+01,4.14E+06,4.94E+06,0.00E+00,1.41E+07,1.19E+05,0.00E+00,0.00E+00,0.00E+00,3.50E+01,9.24E+05,8.45E+05,2.11E+05,4.82E+05,6.86E+04,4.78E+03,1.75E+03,3.41E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.00E+00,1.11E+03,7.74E+02,1.44E+00,5.00E+00,1.51E-05,5.00E+00,0.00E+00,5.00E+00,-4.50E-08,0.343073891,0.205317567,0.451608542,0.343072668,0.205318127,0.451609205,2.80E+00,8.27E-01,2.03E+02,-6.48E-05,7.15E+03,9.73E+02,1.64E+04,2.24E+03
3.70E+01,0.00E+00,-3.30E+01,3.00E+01,4.13E+06,4.93E+06,0.00E+00,1.40E+07,1.20E+05,0.00E+00,0.00E+00,0.00E+00,3.49E+01,9.11E+05,8.34E+05,1.98E+05,4.79E+05,6.83E+04,4.94E+03,1.69E+03,3.43E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.00E+00,1.11E+03,7.72E+02,1.44E+00,6.00E+00,1.51E-05,6.00E+00,0.00E+00,6.00E+00,7.06E-04,0.339821002,0.191419451,0.468759547,0.339821056,0.191419808,0.468759136,2.76E+00,7.95E-01,2.12E+02,9.71E-04,6.69E+03,9.09E+02,1.63E+04,2.23E+03
3.80E+01,3.00E+00,-3.30E+01,3.00E+01,4.13E+06,4.93E+06,0.00E+00,1.41E+07,1.19E+05,0.00E+00,0.00E+00,0.00E+00,3.50E+01,8.88E+05,8.13E+05,1.86E+05,4.73E+05,6.81E+04,5.11E+03,1.60E+03,3.42E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.00E+00,1.11E+03,7.71E+02,1.44E+00,7.00E+00,1.51E-05,7.00E+00,0.00E+00,7.00E+00,4.67E-09,0.335933102,0.178328767,0.485738131,0.335933429,0.178328264,0.485738308,2.74E+00,7.60E-01,2.26E+02,-6.72E-05,6.20E+03,8.43E+02,1.62E+04,2.22E+03
3.90E+01,6.00E+00,-3.30E+01,3.00E+01,3.89E+06,4.70E+06,0.00E+00,1.21E+06,1.20E+05,0.00E+00,0.00E+00,0.00E+00,3.52E+01,8.80E+05,8.08E+05,1.77E+05,4.75E+05,6.86E+04,5.32E+03,1.61E+03,3.61E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.00E+00,1.11E+03,7.80E+02,1.43E+00,8.00E+00,1.50E-05,8.00E+00,0.00E+00,8.00E+00,3.36E-08,0.331453509,0.166005679,0.502540813,0.331452065,0.166006389,0.502541546,2.71E+00,7.33E-01,2.47E+02,8.53E-05,5.91E+03,8.03E+02,1.64E+04,2.24E+03
4.00E+01,9.00E+00,-3.30E+01,3.00E+01,3.87E+06,4.69E+06,0.00E+00,0.00E+00,1.20E+05,0.00E+00,0.00E+00,0.00E+00,3.52E+01,8.62E+05,7.91E+05,1.66E+05,4.66E+05,6.82E+04,5.40E+03,1.64E+03,3.62E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.00E+00,1.11E+03,7.78E+02,1.43E+00,9.00E+00,1.50E-05,9.00E+00,0.00E+00,9.00E+00,-7.11E-08,0.326448348,0.154467758,0.519083895,0.32644658,0.15446795,0.51908547,2.69E+00,7.01E-01,2.62E+02,1.77E-05,5.50E+03,7.48E+02,1.61E+04,2.21E+03
4.10E+01,1.20E+01,-3.30E+01,3.00E+01,4.15E+06,4.99E+06,0.00E+00,1.42E+07,1.19E+05,0.00E+00,0.00E+00,0.00E+00,3.53E+01,8.43E+05,7.75E+05,1.55E+05,4.62E+05,6.71E+04,5.70E+03,1.63E+03,3.56E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+01,1.11E+03,7.77E+02,1.43E+00,1.00E+01,1.51E-05,1.00E+01,1.00E+00,1.00E+01,-2.62E-08,0.320953793,0.143647153,0.535399054,0.320952926,0.143647019,0.535400055,2.67E+00,6.77E-01,2.79E+02,9.09E-07,5.08E+03,6.91E+02,1.60E+04,2.20E+03
